target,model,decile,n,mean_pred,realized
is_xbh,exp,8,18043,0.13087203519584598,0.12010197860666186
is_xbh,exp,9,17812,0.15648417375574214,0.14563215809566585
is_xbh,beast,0,19304,0.01438511218999049,0.012484459179444674
is_xbh,beast,1,17681,0.022422294559569556,0.01939935524008823
is_xbh,beast,2,19603,0.04253074995439166,0.035249706677549356
is_xbh,beast,3,17463,0.06859993512058718,0.06069976521788925
is_xbh,beast,4,17732,0.08104122462243536,0.07399052560342884
is_xbh,beast,5,18423,0.09270558299913877,0.08342832329153775
is_xbh,beast,6,18126,0.10385065962816477,0.09522233256096216
is_xbh,beast,7,18278,0.11624176335789092,0.10827223985118722
is_xbh,beast,8,18324,0.13307100509980532,0.1230080768391181
is_xbh,beast,9,18311,0.16356869000071456,0.15728250778220743
is_xbh,recency,0,20856,0.014553339632169924,0.01534330648254699
is_xbh,recency,1,16958,0.023230132895845974,0.017985611510791366
is_xbh,recency,2,17959,0.03771726163816037,0.03446739796202461
is_xbh,recency,3,26018,0.06973873273359389,0.06841417480206011
is_xbh,recency,4,12029,0.08235119343142625,0.07922520575276415
is_xbh,recency,5,16308,0.08899450804206005,0.09124356144223694
is_xbh,recency,6,21729,0.09866538396375396,0.0973813797229509
is_xbh,recency,7,14824,0.10942755430158811,0.10692120885051268
is_xbh,recency,8,19453,0.1243407271157179,0.12460802960982882
is_xbh,recency,9,17111,0.15543323659024455,0.14218923499503244
is_xbh,recent365,0,18689,0.016350206787884333,0.014768045374284338
is_xbh,recent365,1,19688,0.025301973031123765,0.019250304754164973
is_xbh,recent365,2,17293,0.04056278729044582,0.03735615566992425
is_xbh,recent365,3,17689,0.06440746691268848,0.0628073944259144
is_xbh,recent365,4,18351,0.08169295339057715,0.07885128875810582
is_xbh,recent365,5,19025,0.09459955031297361,0.08646517739816031
is_xbh,recent365,6,18462,0.10428119081134175,0.09836420756147762
is_xbh,recent365,7,21168,0.11344919658091052,0.11172524565381708
is_xbh,recent365,8,15369,0.12469405894730935,0.12056737588652482
is_xbh,recent365,9,17511,0.14174092637692548,0.14191079892638914
is_strikeout,prod,0,55024,0.00788371172257333,0.008160075603373073
is_strikeout,prod,1,18612,0.13623142493065551,0.14614227380184827
is_strikeout,prod,2,18093,0.20774438477235715,0.22655170507931244
is_strikeout,prod,3,18465,0.25979084847094525,0.2702409964798267
is_strikeout,prod,4,18348,0.3070202953285062,0.3145846958796599
is_strikeout,prod,5,18139,0.34897726873379364,0.34500248084238383
is_strikeout,prod,6,18409,0.39590288194341633,0.40007604975827044
is_strikeout,prod,7,18155,0.48254749366681454,0.4952905535665106
