name,pos,mlbam_id,season,split,G,PA,AB,H,2B,3B,HR,RBI,BB,SO,SB,BA,OBP,SLG,OPS,BABIP,TB,SF,SH,HBP,IBB
Andy Pages,CF,681624,2025,vs LHP,85,154,147,46,8,0,3,16,6,35,0,0.313,0.344,0.429,0.773,0.394,63,0,0,1,0
Andy Pages,CF,681624,2025,vs RHP,149,470,434,112,19,1,24,70,23,100,0,0.258,0.302,0.472,0.774,0.278,205,6,0,7,0
Dalton Rushing,C,687221,2025,vs LHP,25,41,35,6,0,0,0,6,3,15,0,0.171,0.244,0.171,0.415,0.273,6,2,0,1,0
Dalton Rushing,C,687221,2025,vs RHP,47,114,107,23,5,0,4,18,7,43,0,0.215,0.263,0.374,0.637,0.317,40,0,0,0,0
Freddie Freeman,1B,518692,2015,vs LHP,75,138,114,25,8,0,1,13,20,39,0,0.219,0.341,0.316,0.657,0.316,36,2,0,2,0
Freddie Freeman,1B,518692,2015,vs RHP,103,343,302,90,19,0,17,53,36,59,0,0.298,0.382,0.53,0.912,0.323,160,0,0,5,4
Freddie Freeman,1B,518692,2016,vs LHP,103,226,193,58,14,3,7,24,21,64,0,0.301,0.389,0.513,0.902,0.408,99,3,0,9,1
Freddie Freeman,1B,518692,2016,vs RHP,145,467,396,120,29,3,27,67,68,107,0,0.303,0.405,0.596,1.001,0.352,236,2,0,1,17
Freddie Freeman,1B,518692,2017,vs LHP,73,143,126,35,7,0,8,20,12,33,0,0.278,0.357,0.524,0.881,0.314,66,1,0,4,1
Freddie Freeman,1B,518692,2017,vs RHP,107,371,314,100,28,2,20,51,53,62,0,0.318,0.42,0.611,1.031,0.343,192,1,0,3,13
Freddie Freeman,1B,518692,2018,vs LHP,108,234,204,63,11,2,10,37,25,47,0,0.309,0.393,0.529,0.922,0.358,108,1,0,4,3
Freddie Freeman,1B,518692,2018,vs RHP,145,473,414,128,33,2,13,61,51,85,0,0.309,0.385,0.493,0.878,0.358,204,5,0,3,9
Freddie Freeman,1B,518692,2019,vs LHP,86,175,161,41,6,0,8,24,11,44,0,0.255,0.309,0.441,0.75,0.3,71,1,0,2,0
Freddie Freeman,1B,518692,2019,vs RHP,151,517,436,135,28,2,30,97,76,83,0,0.31,0.416,0.589,1.005,0.324,257,1,0,4,11
Freddie Freeman,1B,518692,2020,vs LHP,34,62,53,13,3,0,1,8,9,13,0,0.245,0.355,0.358,0.713,0.308,19,0,0,0,0
Freddie Freeman,1B,518692,2020,vs RHP,57,200,161,60,20,1,12,45,36,24,0,0.373,0.495,0.733,1.228,0.384,118,0,0,3,7
Freddie Freeman,1B,518692,2021,vs LHP,97,192,171,44,6,1,7,20,16,31,0,0.257,0.333,0.427,0.76,0.276,73,1,0,4,0
