mlbam_id,name,pos,team,IP,GS,G,W,L,ERA,WHIP,K9,BB9,K,BB,H_allowed,HR_allowed,role
676775,Keaton Winn,P,SF,14.7,0,15,0,1,2.45,0.82,7.98,3.07,13,5,7,0,RP
694361,Will Klein,P,LAD,14.7,0,10,1,2,3.07,1.36,9.20,3.07,15,5,15,0,RP
594580,Sam Moll,P,CIN,14.7,0,15,1,1,1.84,1.09,8.59,5.52,14,9,7,1,RP
663574,Tony Santillan,P,CIN,14.7,0,15,1,1,2.45,1.30,9.20,5.52,15,9,10,2,RP
688883,Peyton Pallette,P,CLE,14.7,0,11,1,1,4.91,1.50,9.20,6.75,15,11,11,1,RP
663947,Tyler Holton,P,DET,14.7,2,15,0,1,4.91,1.91,6.75,4.91,11,8,20,2,SP
656638,Alex Lange,P,KC,14.7,0,13,0,2,6.14,1.64,11.66,6.14,19,10,14,2,RP
681870,Erik Sabrowski,P,CLE,14.7,0,17,1,1,2.45,0.89,14.73,3.68,24,6,7,1,RP
656222,Jalen Beeks,P,TEX,14.7,0,15,1,1,1.84,0.95,8.59,1.84,14,3,11,2,RP
642528,Jonathan Loáisiga,P,AZ,14.7,0,16,0,1,3.68,1.23,7.36,1.84,12,3,15,1,RP
670329,Rico Garcia,P,BAL,14.7,0,16,2,0,0.61,0.34,9.82,2.45,16,4,1,1,RP
641745,Brad Keller,P,PHI,14.7,0,15,1,0,4.30,1.09,9.20,2.45,15,4,12,2,RP
656546,Jeff Hoffman,P,TOR,14.7,0,16,1,2,6.14,1.84,17.18,4.30,28,7,20,2,RP
687064,Brandon Young,P,BAL,14.7,3,3,2,1,4.30,1.57,5.52,3.07,9,5,18,3,SP
668674,Lucas Erceg,P,KC,14.3,0,15,2,1,3.77,1.40,8.16,6.28,13,10,10,0,RP
656945,Tanner Scott,P,LAD,14.3,0,16,0,1,1.88,0.70,9.42,1.26,15,2,8,2,RP
663992,Richard Lovelady,P,WSH,14.3,0,13,2,1,2.51,1.67,8.16,5.65,13,9,15,1,RP
676477,Garrett Whitlock,P,BOS,14.3,0,14,2,1,3.77,1.33,10.67,3.77,17,6,13,2,RP
657514,Brennan Bernardino,P,COL,14.3,2,16,2,1,1.88,1.12,7.53,1.88,12,3,13,1,SP
668984,Casey Legumina,P,SEA,14.3,0,11,0,1,3.77,1.60,6.28,2.51,10,4,19,0,RP
596133,Luke Weaver,P,NYM,14.3,0,14,2,1,5.02,1.05,8.16,2.51,13,4,11,2,RP
641941,Emilio Pagán,P,CIN,14.0,0,14,2,1,6.43,1.43,7.07,3.86,11,6,14,3,RP
641401,Connor Brogdon,P,CLE,14.0,0,14,2,2,4.50,1.00,8.36,1.29,13,2,12,3,RP
660853,Enyel De Los Santos,P,HOU,14.0,0,13,0,1,5.14,1.36,7.71,2.57,12,4,15,1,RP
685299,Tanner Gordon,P,COL,14.0,0,4,0,0,6.43,1.43,10.93,2.57,17,4,16,5,RP
657424,Matt Gage,P,SF,14.0,0,16,2,1,1.29,1.14,5.79,5.79,9,9,7,1,RP
643410,Mark Leiter Jr.,P,ATH,14.0,0,16,0,1,5.79,1.64,9.64,3.21,15,5,18,2,RP
657612,Tim Hill,P,NYY,14.0,0,15,0,0,1.29,0.64,3.86,1.29,6,2,7,1,RP
643377,Griffin Jax,P,TB,14.0,2,13,1,2,5.14,1.50,9.00,5.79,14,9,12,3,SP
607455,Anthony Banda,P,MIN,14.0,0,16,1,0,9.00,1.50,8.36,3.21,13,5,16,2,RP
623474,Jimmy Herget,P,COL,14.0,3,13,0,1,4.50,1.29,9.00,1.93,14,3,15,1,SP
687570,Connor Prielipp,P,MIN,14.0,3,3,1,0,3.86,0.93,9.64,3.21,15,5,8,2,SP
662253,Andrés Muñoz,P,SEA,14.0,0,15,3,2,5.79,1.36,14.79,3.86,23,6,13,2,RP
621112,Paul Blackburn,P,NYY,14.0,0,9,1,1,3.21,1.36,5.79,2.57,9,4,15,0,RP
680767,Victor Vodnik,P,COL,13.7,0,13,0,2,7.24,1.98,7.90,5.27,12,8,19,2,RP
621381,Matt Strahm,P,KC,13.7,0,14,1,0,3.29,1.17,9.22,3.95,14,6,10,2,RP
622554,Seranthony Domínguez,P,CWS,13.7,0,15,2,3,3.95,1.24,11.20,5.93,17,9,8,3,RP
663738,Daniel Lynch IV,P,KC,13.7,0,13,1,0,1.98,0.59,11.85,1.98,18,3,5,1,RP
676254,Ryan Walker,P,SF,13.7,0,14,0,1,4.61,1.54,8.56,4.61,13,7,14,1,RP
663362,Matt Waldron,P,SD,13.7,3,3,0,1,9.88,1.98,5.27,3.29,8,5,22,3,SP
670280,David Bednar,P,NYY,13.7,0,14,1,2,3.29,1.61,10.54,3.29,16,5,17,0,RP
